,ambulancer,bikedir,bikeinjury,bikepos,crashgrp,crashloc,crashtype,development,drvrinjury,recordid,geocodio_AddressNumber,geocodio_Street,point_score
0,5,5,2,0.0,1,3,2,4,1,4cd2c336a6246cac16c11551d71ec8c34b8bbccf,800.0,E Sugar Creek Rd,23.0
1,5,0,2,5.0,1,1,2,4,1,71a2579640ff6730ec345d68c8413189539e47f1,2629.0,Phillips Ave,21.0
2,5,5,2,0.0,1,3,2,5,1,89f52db785c49090277dbe870fff478502da4545,9111.0,S Bv,24.0
3,5,3,3,5.0,1,1,2,4,1,3824572032819f21582df65f1004e00f92ac0286,2601.0,Eastway Dr,25.0
4,5,3,2,0.0,2,3,2,5,0,70ac74cd4614d91b4c7f4aa2654d74da8505c8c2,2617.0,Dion Ave,22.0
5,5,0,5,5.0,1,3,2,5,1,c581be1223c6eeff862b5482dd4d4b6b33c5172e,2656.0,Shenandoah Ave,27.0
6,5,3,3,2.5,2,3,2,5,1,8ad2460d5412d8d36755ace23f84078e99806a24,1514.0,E Bv,26.5
7,5,5,2,0.0,1,3,2,5,1,a07a2a008ee58088b8640307259a54cbf32ba76e,5023.0,Central Ave,24.0
8,5,0,3,0.0,2,1,2,5,1,63060e9170293bc1568266b4b448bc4ca259ba29,5329.0,Ballantyne Commons Py,19.0
9,0,3,2,5.0,2,1,2,4,0,fd8e7ca1d15835678572396ea0ad47d41e0c1bdc,718.0,W Bv,19.0
10,0,3,2,5.0,0,3,1,5,1,b2326160f49be27ea5ec12dcf04ebac8b5c75d97,1301.0,East Blvd,20.0
11,0,3,3,5.0,4,3,4,5,0,c1498e422cc4a348ccf60ea8186849e8cd0ca52f,751.0,W Trade St,27.0
12,5,0,3,0.0,1,1,2,4,1,adb318dd548bbb98fbf1e41700d37f26f44a67c5,6726.0,Heatherwood Ln,17.0
13,5,0,3,5.0,1,3,4,4,0,e5d30dba3af8509788da72e65a5e15a11c56226d,6517.0,Park Rd,25.0
14,0,0,1,5.0,1,3,2,4,1,7720f1bd7512d34dba7a9381feab7362305fd830,10415.0,Plaza Rd Ext,17.0
15,5,3,3,5.0,1,1,2,4,1,bad508d3e834ce2b63d7514045b960dcedf3a217,3700.0,Camp Stewart Rd,25.0
16,5,0,4,5.0,2,1,2,4,1,b74781656d506af0b0966de7c980bfc4bfc5f9bc,13106.0,Brown-grier Rd,24.0
17,5,5,2,0.0,1,1,2,4,1,8e6d0325e042d36471600d004530c6734cec4510,304.0,Beatties Ford Rd,21.0
18,5,0,2,0.0,0,0,0,4,1,23524c0225cb989467a0f25d9dc1d19d63687edb,1128.0,Oaklawn Ave,12.0
19,5,3,3,0.0,2,1,2,5,1,e357dc1f29c4e8c28ae5546e9dec994d002eef74,,I 485,22.0
20,0,3,1,0.0,2,1,2,5,1,5ab52f0d866ddff4b39f16ede93239e373e16cbf,3101.0,Shenandoah Ave,15.0
21,5,5,2,5.0,0,3,0,4,1,f78cc7f6060de8d5906fa815e2056ebb09b4b0ef,10400.0,Telscombe Ct,25.0
22,5,5,2,0.0,2,1,3,5,1,a07b37437822cc044ed2cbd4b053f97cf4e4a914,5618.0,Old Concord Rd,24.0
23,0,5,2,0.0,1,3,2,5,1,0a16b49f931f43c6a273155c08408979b22de5c9,457.0,Eastway Dr,19.0
24,5,0,5,0.0,1,3,2,5,2,bc0d8395779acfa5337ff8816198a331ed94209a,6409.0,Old Pineville Rd,23.0
25,0,3,2,5.0,1,3,2,4,1,3d2e224ef7fc3d37032a21f9e1598157635f0efb,6200.0,Wilson Grove Rd,21.0
26,5,5,3,0.0,2,1,2,4,1,85218d0799c15578a637c3d353a6bfcef1a57754,4902.0,The Plz,23.0
27,5,3,3,0.0,1,3,2,4,1,e2349090f8d21a85dd9b574a4a1e8d2aa3f10179,1660.0,West Blvd,22.0
28,5,3,3,5.0,1,3,2,5,1,4a37b887dd64c6aec713e961c98a8b48d088637a,7704.0,Colony Rd,28.0
29,0,5,3,0.0,0,3,0,4,0,8d78ef2e17051457a1499b6ff759bf3672ad0401,10716.0,Plaza Rd Ext,15.0
30,5,3,2,5.0,4,3,1,4,0,9de8a381e0f06d1b2b74f953c63e4c2128d9c751,3521.0,Shamrock Dr,27.0
31,0,5,2,5.0,1,3,2,5,1,daef6187d43d47f746ffbf29404c53795f1f2447,3059.0,Freedom Dr,24.0
32,5,3,3,5.0,2,1,2,4,1,9674d9d4000f1dc473e86a64c69001846ff43ab0,1701.0,Queens Rd W,26.0
33,5,3,3,5.0,4,1,5,5,1,e5ba7390f45119e46ab5ebae053f1cc2e2e3c04f,3701.0,Wilkinson Bv,32.0
34,0,3,4,5.0,1,1,2,0,1,6938fcf00abfb03ba3ec77c07d557ffd8ff90cd4,6798.0,State Hwy 27,17.0
35,0,3,3,0.0,4,3,1,4,2,1f5e1ebd1419bf0299e1dbc72ecfd24d29ca4439,4603.0,Narayan St,20.0
36,0,3,3,0.0,2,1,2,5,0,9b5fec9bd7489ef859660827e5e82d52164363f9,809.0,Charlottetowne Ave,16.0
37,0,3,4,5.0,4,3,5,0,0,60af5864d2143512599616919091d106b9ba4e3f,16200.0,York Rd,24.0
38,5,0,2,0.0,1,3,2,4,1,a9d5cf145239b73ace281fd7b87eae354cca3879,2741.0,Fairstone Ave,18.0
39,0,0,2,0.0,1,3,2,5,0,a3c6ff371024eec7aa3bcc53f28dce98edf8f8ba,6324.0,Windsor Gate Ln,13.0
40,5,5,2,5.0,2,1,2,5,1,48eb6e7a3041c4b9b398166a5e517e98f65ae519,1200.0,Central Ave,28.0
41,0,5,1,5.0,2,1,2,5,1,2d4a94c05e5c70370030c054c524618720d6852a,301.0,N Poplar St,22.0
42,5,3,3,5.0,0,3,0,4,0,a128b67e5cbe6c202d8aa00af1130f9f9f8d6737,11144.0,Ridge Oak Dr,23.0
43,0,0,2,5.0,1,3,2,5,1,d9838779d8eb533de47005a32692d33fd077417d,4500.0,The Plz,19.0
44,5,5,4,0.0,1,3,2,5,1,404d0e4e9d98a9e786c4af1fb9cdbefc4e7bd3fd,1050.0,W Sugar Creek Rd,26.0
45,5,5,3,5.0,2,1,2,4,1,8c8ce1eab51c6ae2ca42dae8d2dcb05896d32c17,1500.0,N Davidson St,28.0
46,5,5,3,2.5,1,1,2,5,1,be04d040c932ee3920a0a08d7a113e78209aa3aa,1275.0,E Bv,25.5
47,0,3,3,5.0,2,1,2,5,1,2ec47b2ef48fbc59b56a0e9d37aa1901e0ffbff7,408.0,S Sharon Amity Rd,22.0
48,5,5,2,5.0,2,1,2,4,1,5378efe2494f501dbdd09f96c3b4f4c4a2cc19d1,9731.0,Cayenne Dr,27.0
49,5,3,2,5.0,1,1,2,5,1,a40b8bbd07fae7017007829070ee91a0eda5da9c,1128.0,N Davidson St,25.0
50,5,5,3,0.0,2,1,2,4,1,ec0e85c2a7d4e87725da20ac3513b0fcfbb632d9,5236.0,Sardis Rd,23.0
51,5,0,2,0.0,0,0,0,4,0,dde48a180440ba007c98aed2a462bb5df683b583,1204.0,Kennon St,11.0
52,5,3,3,5.0,2,3,2,5,1,d4379d449f403073dd35acd3b74357887c78b525,505.0,S Tryon St,29.0
53,5,0,2,0.0,0,0,0,5,1,e3324ca5967f0838b4425072df5c7a1e6d290c6f,219.0,E 7th St,13.0
54,5,0,2,0.0,0,0,0,4,1,f737acab83fdab6e45a67111ed49fd8aeff510bb,10411.0,Willow Run Rd,12.0
55,5,3,3,5.0,0,1,0,4,1,bd4b1decafc864fe393628e1b67e8ce03041d5dc,3701.0,Country Club Dr,22.0
56,0,5,2,0.0,1,3,2,4,1,9dcdb71510f0e0d8dde16ec8197b9df52d0a0e03,2426.0,N Tryon St,18.0
57,0,0,2,0.0,1,1,2,4,1,9aa4b7e4a63c35a49bfd9206ddd7d94ca8e955c6,500.0,N Graham St,11.0
58,5,5,0,0.0,0,1,0,5,1,91bf6bf4fec7617716df7e65768314b705927da4,6002.0,The Plz,17.0
59,5,5,3,0.0,2,1,2,5,1,65a71e670c59847abdaa882259eb997189e2daee,3600.0,Eastover Ridge Dr,24.0
60,5,3,3,0.0,2,1,2,5,1,732c9153d888c852f4bf34ac190c53d796b3bf4f,4400.0,Central Ave,22.0
61,0,3,2,5.0,0,1,0,4,2,6f3c30b20a9225874cb687f650a2e72803275cb0,105.0,S Tryon St,17.0
62,0,3,1,0.0,1,1,4,5,0,fbee12fe8f8201c1eae8ee767e1fe2b6ef8faa61,426.0,Eastway Dr,15.0
63,0,3,3,5.0,2,1,2,5,3,d1e0824077e9db8a66cdf6c084d961b116ac6e1f,100.0,W 3rd St,24.0
64,0,0,3,0.0,0,0,0,5,1,87079eb30a35bdc096e358b304af0580cc05c283,8648.0,J W Clay Blvd,9.0
65,0,0,2,0.0,0,0,0,5,1,c2e4fdb13f3ae6e49f2a2b85f00ce827db4b3aa3,8538.0,Park Rd,8.0
66,0,5,3,0.0,1,3,2,5,1,3462e054df813c335458ddc07e45d8032b329e3e,1403.0,E Bv,20.0
67,5,3,3,0.0,2,1,3,5,1,ffdcd8ed5b8ca40c86327bab5603995cad1edabc,3109.0,Wilkinson Bv,23.0
68,0,3,2,5.0,4,3,4,5,0,51db4c425de14cc6acd8e08ec47acac589571a5e,8635.0,Hankins Rd,26.0
69,0,5,2,0.0,1,1,2,5,1,9c7758b31b9dd59b510e45cf19987711775e453d,103.0,E 4th St,17.0
70,5,3,3,5.0,1,1,2,5,1,8bab44f5738a68fb8a5ce2cbd45d383de7f1bd82,12749.0,Sam Neely Rd,26.0
71,0,5,1,0.0,1,3,2,5,0,f6b9405d8dd8547223c1465be4561d67f087e7f6,2833.0,Freedom Dr,17.0
72,5,3,2,2.5,2,3,2,5,1,638277259451f001ee8b385efd1544ac84f29d96,1620.0,East Blvd,25.5
73,0,5,3,0.0,1,1,2,5,1,1a234ed332c1f2d40b8ff3bf42bb793c525de360,3838.0,Sky Haven Dr,18.0
74,0,3,2,0.0,2,1,2,5,0,e3670007b43047bb3153995ebdd96af7133259fe,1300.0,S Tryon St,15.0
75,0,3,2,5.0,1,1,2,4,1,635ac19f15bef8285ddc510c864a63418e2ade66,105.0,S Tryon St,19.0
76,5,3,3,5.0,1,1,2,5,1,4e4e5f40d95ce3758cb220572cc12796027547ea,3560.0,W Bv,26.0
77,5,5,3,0.0,1,3,2,5,1,a6e75c75486228d5e58308366cae7932c06c5ad6,5550.0,Albemarle Rd,25.0
78,0,5,2,5.0,2,1,3,5,1,7a37818ce6b5fd0a4244a478c5f0ffc55ac9bcad,10660.0,Park Rd,24.0
79,5,3,2,5.0,1,3,2,4,0,083cfa855bc0aefca9eb5436dc016595cd4674db,219.0,Bradford Dr,25.0
80,0,3,0,5.0,1,1,2,5,1,449255bafcd87b977d29c7fbe4755d360186116c,8525.0,Park Rd,18.0
81,5,3,3,5.0,2,1,2,4,1,4e7bd80a911bd54e05e27463fc34f532f132542f,2532.0,Windsor Crescent Ct,26.0
82,0,3,3,5.0,2,1,2,5,1,33087bef64576b5d54972f2c9c2c00541eaf1f73,,I 485,22.0
83,0,0,3,0.0,2,1,3,4,1,61bbbd22428198f87f28f8a6c2fb8f73a40a1017,10201.0,Providence Rd,14.0
84,0,5,3,2.5,2,1,2,4,1,f316f41fa201e57f1255c3c0a6362e32f513052a,9901.0,Johnston Rd,20.5
85,5,5,3,0.0,2,1,2,4,1,fcb4d0da9ade436f30cdb18675423426f2001db0,10805.0,University City Blvd,23.0
86,5,3,2,5.0,4,3,0,5,0,accc1d585419e50250b68dda21d76fb4d0ec2411,313.0,E Trade St,27.0
87,5,3,2,5.0,2,1,2,4,1,f255d1bfb60e2a586ecc7d424163e851bddd2bd1,5119.0,Split Oak Dr,25.0
88,0,3,0,5.0,1,3,0,4,0,b3ce6ca3633cfbba35fb07dc125610f61af8c651,6320.0,Amos Smith Rd,16.0
89,5,3,3,5.0,0,3,0,4,0,efdaa9c28df8ec35ceb5f68e3ff46a1a374178cb,1737.0,Queens Rd W,23.0
90,5,3,1,5.0,4,1,4,5,2,1262d365c9e78ae9e4cc2c62aeec151ea560cf11,6025.0,General Commerce Dr,30.0
91,5,5,2,0.0,2,1,2,5,2,5ca5db150ef6d5cf1c8152dd98bec859bd1a0e58,4355.0,Providence Rd,24.0
92,0,0,2,0.0,0,0,0,5,1,46445f54d9a33d2a52bd9768f6ea3d069e64e2d2,10405.0,Park Rd,8.0
93,5,3,3,5.0,1,1,2,4,1,3419f180f28a360265ecf2193622c5dcd51d2fc4,2020.0,Sebastiani Dr,25.0
94,0,3,2,5.0,0,3,0,4,0,030a27bcd0f529f685995649ce0b0fed790627af,12798.0,Tom Short Rd,17.0
95,5,3,2,5.0,2,1,2,4,1,7dedd900b2831241969fcb039c1bd450cb78a144,2731.0,Beatties Ford Rd,25.0
96,5,3,5,5.0,4,3,1,5,1,fc01afe3022e71865decc06d9c37759156e926af,8512.0,Wilkinson Blvd,32.0
97,0,3,2,5.0,1,1,2,5,1,92ed6166f88a2775522eca6fcc20af5c1e2cd89e,6120.0,Prosperity Church Rd,20.0
98,0,3,2,5.0,1,1,2,4,1,ec869c236045d4ff2a35d3bd9694be1068164903,503.0,Hawthorne Ln,19.0
99,5,0,3,5.0,1,3,2,4,1,54c5d62185fc28bc24882cc45cdc0e6e57199f2c,5706.0,Fairvista Dr,24.0
100,5,3,2,5.0,4,3,0,4,1,d45ad326b73e27b727493d7cf7189f5347b0a6f0,8603.0,Lawyers Rd,27.0
101,5,3,2,5.0,0,3,0,5,1,aaa2f18068975180f3c2abefeb913ccab4de1e9f,235.0,N Tryon St,24.0
102,5,5,3,0.0,2,3,2,5,1,ae0927cac08921694f8331a12bdbfd1617a64528,4410.0,The Plz,26.0
103,5,3,3,0.0,0,3,0,5,0,d87e6445196b4956deb5365e867d4ec7bbd0ed83,4521.0,S Bv,19.0
104,0,5,3,0.0,1,1,2,4,0,c41f93a52743be0d70113e4737c67bbc19fd2536,8415.0,E W T Harris Blvd,16.0
105,5,3,2,0.0,2,1,2,5,1,39107f5c5f4471379cd22cd3960c9f31acca695c,1534.0,Wembley Dr,21.0
106,5,3,2,0.0,2,1,2,5,1,ba32e6951544099a8fc562b1c7bff60bd3779335,1715.0,Alleghany St,21.0
107,5,5,3,0.0,2,1,3,5,1,7ae16ed48ef66e15510e9b2f07912a59f8e3b5d6,1512.0,Abbey Pl,25.0
108,5,0,2,0.0,1,1,2,5,1,1f7b9498ed7d1cd21a4df6b70b6a615c495d901c,4346.0,Park Rd,17.0
109,0,3,1,5.0,0,1,0,5,0,ac24d9179616388e4d708916104a4471b9714b2d,5314.0,Pineville-matthews Rd,15.0
110,5,5,3,0.0,1,3,2,4,1,c5f48a33afd01e9f70cfa47072eba18257b55cae,3311.0,Providence Rd,24.0
111,5,3,2,5.0,2,1,2,5,1,e7c5307204d191180821fdfc08811edcb1967571,1342.0,Alleghany St,26.0
112,5,3,3,5.0,2,1,4,4,1,dee5560a558860e5ebb1678ece8bb21db02fbb76,1005.0,Pavilion Bv,28.0
113,5,5,2,5.0,2,1,2,4,1,d21a44af18d6a4bf4596fadb3fae3f662f84d88c,6724.0,Wilson Grove Rd,27.0
114,5,3,3,5.0,1,1,2,5,1,8e9f9576386793d9ab51f5ec8c206ae74597a864,6915.0,W W T Harris Bv,26.0
115,5,5,2,0.0,1,3,2,5,1,8d0ff10ddfdcae3987437689cf14737435440e9a,9702.0,Monroe Rd,24.0
116,5,3,3,5.0,4,3,5,4,1,02864301984894446720fd6fd4a242f6655c4e30,1422.0,The Plz,33.0
117,5,5,1,0.0,2,1,2,4,1,db2c7cb4106120e29287ac90ee742254840ad515,3925.0,N Sharon Amity Rd,21.0
118,0,3,3,5.0,4,3,4,5,0,a15be833e8d402cc8e924fdd35f8f3c9d07e66b8,900.0,Center Park Dr,27.0
119,0,3,3,5.0,2,1,2,4,1,21a5cb4792177d372688cd18484665744dbbe40e,6402.0,Clarke Creek Pkwy,21.0
120,0,3,1,0.0,2,1,2,5,1,d3cad78f7ee50a1b9d40f01967fde7189d8d7212,2753.0,Cowles Rd,15.0
121,0,5,3,0.0,1,3,2,5,1,ac528a219ede72df7e6641d4600453394a1ce3d5,1685.0,N I - 85 Svc Rd,20.0
122,5,3,3,0.0,1,3,2,5,1,eddd88676e0fc1caee2d0ce2110d56157efa5eb4,9103.0,Albemarle Rd,23.0
123,5,3,3,2.5,4,1,4,4,1,44e578685d3fa120331850f64b3f7f486ef27d43,2102.0,Queens Rd W,27.5
124,5,5,3,0.0,1,3,2,5,1,0725e470a0a9f3a887851280d2521fe552dbea20,6602.0,E W T Harris Blvd,25.0
125,0,3,3,2.5,2,3,2,5,1,86d0cf209bef11867c3686a107c286b204bec421,1608.0,East Blvd,21.5
126,5,3,2,5.0,1,1,2,5,1,01e0581cc725ccfc1da3249e325be597c95ec416,1069.0,Coddington Pl,25.0
127,0,3,3,5.0,2,1,2,4,1,5d954d3b71d48ac4231fb417cd228425b912ee65,6926.0,City View Dr,21.0
128,0,0,4,0.0,0,0,0,4,1,71e6a82d688b2bb2098e256aa0f453ee75d7cc51,8407.0,Habersham Pointe Cir,9.0
129,5,3,3,5.0,4,3,5,4,3,40f2d425a970ff1684bba814cd3e232472230b65,1105.0,Moray Ct,35.0
130,5,5,2,0.0,1,3,2,5,1,38052fb98b496f0ca6cf8bde53848c0ee1632a5e,2732.0,Wilkinson Blvd,24.0
131,5,3,2,5.0,2,1,2,4,1,5dd7b980c2766195418c3b29cacc2c1d15fff6ae,2009.0,Nolen Park Ln,25.0
132,5,0,3,5.0,1,3,2,5,1,4a4f4878922bc5e0feb12d20b1fab0026426690e,1304.0,E Woodlawn Rd,25.0
133,0,3,2,5.0,2,1,2,4,0,5fd4bcec47e684f9f95d4a1affacc1c7c57fc710,7335.0,Wilson Grove Rd,19.0
134,5,0,3,5.0,1,3,2,4,1,9d571ab313961a9b1aa41f5350fe50169724da6f,2332.0,Julia Ave,24.0
135,5,5,2,0.0,1,3,2,5,1,102d187361e1afdf83983754089e9d66b4098b98,8834.0,E W T Harris Bv,24.0
136,5,3,2,0.0,2,1,2,5,1,8aa86b8acd4ae0c78e1e5ed1c64ea946802b27e1,1202.0,W Sugar Creek Rd,21.0
137,5,5,2,5.0,2,1,2,4,1,97072187b716b0ccfc2cd54b7c13824e00480bfd,5536.0,Joyce Dr,27.0
138,5,0,2,0.0,0,0,0,4,1,ec4477b806086c0834405ac87f21ad01c29dc1c5,7029.0,Fernwood Dr,12.0
139,0,0,3,0.0,0,0,0,5,1,54cdb1825699d2e71ccb7b62def7abf4d63418b9,8437.0,Davis Lake Py,9.0
140,5,5,2,0.0,1,3,2,5,1,450557826952b3467687194c01739b2be08ee8c6,6605.0,Fairview Rd,24.0
141,0,0,2,0.0,1,3,2,4,2,305260484c6308d7e38cc22119513a22d73557e6,5620.0,Flagstaff Dr,14.0
142,0,3,2,5.0,2,1,2,5,1,24aed0a9dd2ec6956a84786f798a9ccaf9e8f288,3948.0,The Plz,21.0
143,5,3,3,5.0,1,1,1,4,1,f7a4064cda3940cfe271b5c82e16a7aaf76e57ad,9406.0,Steele Creek Rd,24.0
144,5,0,2,0.0,1,1,2,5,1,0cf0d3c4b1f0de1727f717c3d00d9427134d5735,2605.0,W Arrowood Rd,17.0
145,5,3,3,5.0,4,1,5,4,1,a76baf07b51c1c9987e3d976845056557c65c25b,3064.0,Uxbridge Woods Ct,31.0
146,5,3,3,0.0,1,3,0,4,1,9fbe2abca811e8e050f9d260ea4db3cab34d778f,6635.0,Mounting Rock Rd,20.0
147,5,3,3,5.0,0,1,0,4,1,ca0d03b4df5a867816e704819d74202b48140ea0,4201.0,Back Creek Church Rd,22.0
148,0,5,2,0.0,2,1,2,5,1,c7c8af616e77d04879d2d98281a353d41df88f80,8732.0,University City Bv,18.0
149,5,3,3,5.0,1,1,2,4,1,88e1a5351de78e377578a4d474017db7acf400bf,708.0,Pecan Ave,25.0
150,5,5,2,5.0,2,1,2,4,1,7202c14693334bfcd1e3d10e878dc75b1a8ef989,8235.0,Monroe Rd,27.0
151,5,0,3,5.0,2,1,2,4,1,513400fc4fc5c1739f9c890bff7253e366b90df6,1932.0,Allen St,23.0
152,5,3,2,5.0,1,3,2,4,1,42066d69bc477e8dad77f7c20a412c2ccf4c4529,2365.0,Sharon Rd,26.0
153,5,3,3,5.0,1,1,2,4,1,1e3084ae85625c49b6b89246498df0c805dc670b,6599.0,Pineville-matthews Rd,25.0
154,5,5,2,0.0,0,1,0,5,1,abc1a22b65ba7dab43a90e420ab630c6578f2c2f,6229.0,Carmel Rd,19.0
155,0,5,2,0.0,2,1,2,4,1,1621176e4464fce07461e43df08d6d18aef72642,10767.0,S Tryon St,17.0
156,0,5,1,5.0,2,1,2,5,1,7535d389f8b8591ffc09274f80300e12efa11f2e,7101.0,Harrisburg Rd,22.0
157,5,3,2,5.0,2,1,2,5,1,afed5a67885fd82dd5529af8356d506275e9f560,1103.0,Reece Rd,26.0
158,0,3,1,5.0,0,3,0,5,1,8fc904a454153ccd6fd5e8f72f90470cdc3f09ae,5600.0,Statesville Rd,18.0
159,0,3,3,5.0,1,1,2,5,1,9be1f29cc491a5435b5996c8e6d1e498a6610c3d,10329.0,Park Rd,21.0
160,5,3,3,5.0,2,1,2,5,1,210dc6fcdacf16f4ae62fceec529555b1e1920ee,4912.0,Sunset Rd,27.0
161,5,3,3,0.0,2,3,2,5,1,bdc10ece037e86563c545f2bd48cfb72629ad198,1403.0,E Bv,24.0
162,5,5,2,0.0,2,1,2,5,1,aacffa5eb7b55e0fbaa252c67acfbbfa83aa576b,8249.0,N Tryon St,23.0
163,5,0,4,5.0,1,3,2,4,1,dc81a090fba3b000d930cb3337c692c7027e82c7,1316.0,Remount Rd,25.0
164,5,0,2,5.0,0,3,0,4,1,aef4f1b1e85831bf3cc43bf368680dbcfbe8514d,902.0,Rodey Ave,20.0
165,0,5,2,0.0,2,1,0,5,0,f1aa5249767e5dbf6e85eb91f27ad0f84363c111,2501.0,Freedom Dr,15.0
166,5,5,3,0.0,0,1,0,5,1,b0b1c4187c1ae134f23347d4e9845467052810b8,1715.0,Pineville-matthews Rd,20.0
167,5,0,2,0.0,1,1,4,5,1,bc9745f9784f8815d339883a523f7b76ba74a4b1,5137.0,Central Ave,19.0
168,0,3,5,5.0,4,3,4,5,1,37a61e7b2f1e5e9646d013aacd7a074e9708b2b7,7321.0,N Tryon St,30.0
169,0,3,1,5.0,0,1,0,4,1,8ca4cc0a370f254b1a67f274fec4ca63632bce58,229.0,E Kingston Ave,15.0
170,5,3,4,5.0,1,1,2,4,1,f9de338dafb42075305e3becb66cb07d47b8824f,201.0,Skyland Ave,26.0
171,0,5,2,5.0,1,3,2,5,1,bf8f1f22d92e0b7a34f0fe464cd281230cfa692c,4004.0,Monroe Rd,24.0
172,0,5,3,0.0,4,3,4,4,1,6e6e19bd7de49355d065cb06705837e23271983f,2009.0,Lasalle St,24.0
173,0,5,1,0.0,1,3,2,4,1,f5bc52af934341402b9c85f1d52c89179d6f6eaa,6314.0,Albemarle Rd,17.0
174,0,5,2,0.0,1,3,2,4,1,6f50fb67083ae0c0790b59fbdc3b3ddebd86c841,3101.0,Providence Rd,18.0
175,5,0,3,0.0,1,3,2,5,1,2a8652838f06b6146b4730ff514d94e5a9326fa5,613.0,Providence Rd,20.0
176,5,5,3,0.0,2,1,2,4,1,39fae5ec78ad9da01b95e30d09830431e409514d,5149.0,N Sharon Amity Rd,23.0
177,5,3,3,0.0,2,1,2,4,1,e1d6ccd85a5d8ebe8ddabcf459c56c3f102c1fbd,2299.0,Beam Rd,21.0
178,5,3,2,5.0,4,3,0,5,0,2135421813153b0f6965f6739a52a6a6afa02b53,8106.0,Providence Rd,27.0
179,5,3,3,5.0,1,1,2,4,1,3176b70db8c8569dac299c4ae43aedc15e2e8558,3541.0,Cotillion Ave,25.0
180,0,3,3,5.0,1,1,2,4,1,386e2f57d546fc3a2394da81e1b9675b4fbddb0f,2128.0,The Plz,20.0
181,0,0,3,5.0,1,1,2,4,1,2ce6810679fdbe638daf80ab32261cf3173f207b,2003.0,Belvedere Ave,17.0
182,0,3,1,0.0,1,3,0,4,1,e1c79c7cf9a9ef18356a71040fffb2298db877ea,11341.0,Erwin Ridge Ave,13.0
183,5,3,3,5.0,1,1,2,4,1,f8824323c4d381d13988bfe004adc286cb4deb09,3901.0,Sulkirk Rd,25.0
184,5,3,3,2.5,2,1,2,5,1,a9505b6740074a16f1365354ef8933c2ab08c21b,1500.0,East Blvd,24.5
185,0,0,3,0.0,2,1,2,0,1,e1166508e73ce0b246b2bc3eb759af21988b4b99,1100.0,N Graham St,9.0
186,5,3,4,5.0,2,1,2,4,1,5456b8633b622d340dafcb08820686f7745c6963,629.0,E 18th St,27.0
187,5,5,2,0.0,1,3,2,5,1,325f1cbaf8dac8b83f0629ba04ca5f9007ede187,2547.0,West Blvd,24.0
