,ambulancer,bikedir,bikeinjury,bikepos,crashgrp,crashloc,crashtype,development,drvrinjury,recordid,geocodio_AddressNumber,geocodio_Street
0,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,0.0,0.0,4cd2c336a6246cac16c11551d71ec8c34b8bbccf,800.0,E Sugar Creek Rd
1,5,0.0,0,5.0,1.0,0.8818671780873069,2.0,0.0,0.0,71a2579640ff6730ec345d68c8413189539e47f1,2629.0,Phillips Ave
2,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,89f52db785c49090277dbe870fff478502da4545,9111.0,S Bv
3,5,3.0,3,5.0,0.7865274962392436,0.0,1.8566901907690336,0.0,0.0,3824572032819f21582df65f1004e00f92ac0286,2601.0,Eastway Dr
4,5,3.0,0,0.0,2.0,3.0,2.0,5.0,0.0,70ac74cd4614d91b4c7f4aa2654d74da8505c8c2,2617.0,Dion Ave
5,5,0.0,5,5.0,0.5812293449738022,3.0,1.940254031921809,5.0,0.0,c581be1223c6eeff862b5482dd4d4b6b33c5172e,2656.0,Shenandoah Ave
6,5,3.0,3,2.5,2.0,3.0,2.0,5.0,0.0,8ad2460d5412d8d36755ace23f84078e99806a24,1514.0,E Bv
7,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,a07a2a008ee58088b8640307259a54cbf32ba76e,5023.0,Central Ave
8,5,0.0,3,0.0,0.0,0.0,1.6294373023648059,5.0,0.0,63060e9170293bc1568266b4b448bc4ca259ba29,5329.0,Ballantyne Commons Py
9,0,3.0,0,5.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,fd8e7ca1d15835678572396ea0ad47d41e0c1bdc,718.0,W Bv
10,0,3.0,0,5.0,0.0,3.0,0.9874375635243792,5.0,0.0,b2326160f49be27ea5ec12dcf04ebac8b5c75d97,1301.0,East Blvd
11,0,3.0,3,5.0,4.0,3.0,4.0,5.0,0.0,c1498e422cc4a348ccf60ea8186849e8cd0ca52f,751.0,W Trade St
12,5,0.0,3,0.0,1.0,0.8818671780873069,2.0,0.0,0.0,adb318dd548bbb98fbf1e41700d37f26f44a67c5,6726.0,Heatherwood Ln
13,5,0.0,3,5.0,0.9238238946244692,3.0,3.7055145607167823,0.0,0.0,e5d30dba3af8509788da72e65a5e15a11c56226d,6517.0,Park Rd
14,0,0.0,1,5.0,1.0,3.0,2.0,0.0,0.0,7720f1bd7512d34dba7a9381feab7362305fd830,10415.0,Plaza Rd Ext
15,5,3.0,3,5.0,1.0,0.0,2.0,0.0,0.0,bad508d3e834ce2b63d7514045b960dcedf3a217,3700.0,Camp Stewart Rd
16,5,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0,b74781656d506af0b0966de7c980bfc4bfc5f9bc,13106.0,Brown-grier Rd
17,5,3.3039771526735473,0,0.0,0.7865274962392436,0.0,1.743870248261988,0.0,0.0,8e6d0325e042d36471600d004530c6734cec4510,304.0,Beatties Ford Rd
18,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23524c0225cb989467a0f25d9dc1d19d63687edb,1128.0,Oaklawn Ave
19,5,3.0,3,0.0,2.0,0.0,2.0,5.0,0.0,e357dc1f29c4e8c28ae5546e9dec994d002eef74,,I 485
20,0,3.0,1,0.0,1.5471031605519379,0.0,1.5690630677617585,5.0,0.0,5ab52f0d866ddff4b39f16ede93239e373e16cbf,3101.0,Shenandoah Ave
21,5,3.3039771526735473,0,5.0,0.0,3.0,0,0.0,0.0,f78cc7f6060de8d5906fa815e2056ebb09b4b0ef,10400.0,Telscombe Ct
22,5,3.3039771526735473,0,0.0,1.6826109754383793,0.0,2.599223782593324,5.0,0.0,a07b37437822cc044ed2cbd4b053f97cf4e4a914,5618.0,Old Concord Rd
23,0,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,0a16b49f931f43c6a273155c08408979b22de5c9,457.0,Eastway Dr
24,5,0.0,5,0.0,0.5812293449738022,3.0,1.8511335893428382,5.0,2.0,bc0d8395779acfa5337ff8816198a331ed94209a,6409.0,Old Pineville Rd
25,0,3.0,0,5.0,1.0,3.0,2.0,0.0,0.0,3d2e224ef7fc3d37032a21f9e1598157635f0efb,6200.0,Wilson Grove Rd
26,5,3.3039771526735473,3,0.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,85218d0799c15578a637c3d353a6bfcef1a57754,4902.0,The Plz
27,5,3.0,3,0.0,1.0,3.0,2.0,0.0,0.0,e2349090f8d21a85dd9b574a4a1e8d2aa3f10179,1660.0,West Blvd
28,5,3.0,3,5.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,4a37b887dd64c6aec713e961c98a8b48d088637a,7704.0,Colony Rd
29,0,3.3039771526735473,3,0.0,0.0,3.0,0.0,0.0,0.0,8d78ef2e17051457a1499b6ff759bf3672ad0401,10716.0,Plaza Rd Ext
30,5,3.0,0,5.0,4.0,3.0,1.0,0.0,0.0,9de8a381e0f06d1b2b74f953c63e4c2128d9c751,3521.0,Shamrock Dr
31,0,3.3039771526735473,0,5.0,0.5812293449738022,3.0,1.8511335893428382,5.0,0.0,daef6187d43d47f746ffbf29404c53795f1f2447,3059.0,Freedom Dr
32,5,3.0,3,5.0,1.5471031605519379,0.0,1.9052921977613009,0.0,0.0,9674d9d4000f1dc473e86a64c69001846ff43ab0,1701.0,Queens Rd W
33,5,3.0,3,5.0,4.0,0.8818671780873069,4.848549680256302,5.0,0.0,e5ba7390f45119e46ab5ebae053f1cc2e2e3c04f,3701.0,Wilkinson Bv
34,0,3.0,4,5.0,1.0,0.0,2.0,0,0.0,6938fcf00abfb03ba3ec77c07d557ffd8ff90cd4,6798.0,State Hwy 27
35,0,3.0,3,0.0,4.0,3.0,1.0,0.0,2.0,1f5e1ebd1419bf0299e1dbc72ecfd24d29ca4439,4603.0,Narayan St
36,0,3.0,3,0.0,2.0,0.0,2.0,5.0,0.0,9b5fec9bd7489ef859660827e5e82d52164363f9,809.0,Charlottetowne Ave
37,0,3.0,4,5.0,4.0,3.0,4.848549680256302,0.0,0.0,60af5864d2143512599616919091d106b9ba4e3f,16200.0,York Rd
38,5,0.0,0,0.0,0.5812293449738022,3.0,1.940254031921809,0.0,0.0,a9d5cf145239b73ace281fd7b87eae354cca3879,2741.0,Fairstone Ave
39,0,0.0,0,0.0,0.5812293449738022,3.0,1.940254031921809,5.0,0.0,a3c6ff371024eec7aa3bcc53f28dce98edf8f8ba,6324.0,Windsor Gate Ln
40,5,3.3039771526735473,0,5.0,1.6826109754383793,0.0,1.9744608182855328,5.0,0.0,48eb6e7a3041c4b9b398166a5e517e98f65ae519,1200.0,Central Ave
41,0,3.3039771526735473,1,5.0,1.2256853905921663,0.0,1.439431243892316,5.0,0.0,2d4a94c05e5c70370030c054c524618720d6852a,301.0,N Poplar St
42,5,3.0,3,5.0,0.0,3.0,0.0,0.0,0.0,a128b67e5cbe6c202d8aa00af1130f9f9f8d6737,11144.0,Ridge Oak Dr
43,0,0.0,0,5.0,0.5812293449738022,3.0,2,5.0,0.0,d9838779d8eb533de47005a32692d33fd077417d,4500.0,The Plz
44,5,3.3039771526735473,4,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,404d0e4e9d98a9e786c4af1fb9cdbefc4e7bd3fd,1050.0,W Sugar Creek Rd
45,5,3.3039771526735473,3,5.0,1.5471031605519379,0.0,1.9052921977613009,0.0,0.0,8c8ce1eab51c6ae2ca42dae8d2dcb05896d32c17,1500.0,N Davidson St
46,5,3.3039771526735473,3,2.5,1.0,0.0,2.0,5.0,0.0,be04d040c932ee3920a0a08d7a113e78209aa3aa,1275.0,E Bv
47,0,3.0,3,5.0,2.0,0.0,2.0,5.0,0.0,2ec47b2ef48fbc59b56a0e9d37aa1901e0ffbff7,408.0,S Sharon Amity Rd
48,5,3.3039771526735473,0,5.0,0.0,0.0,0.0,0.0,0.0,5378efe2494f501dbdd09f96c3b4f4c4a2cc19d1,9731.0,Cayenne Dr
49,5,3.0,0,5.0,0.7865274962392436,0.0,1.9112837281089872,5.0,0.0,a40b8bbd07fae7017007829070ee91a0eda5da9c,1128.0,N Davidson St
50,5,3.3039771526735473,3,0.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,ec0e85c2a7d4e87725da20ac3513b0fcfbb632d9,5236.0,Sardis Rd
51,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,dde48a180440ba007c98aed2a462bb5df683b583,1204.0,Kennon St
52,5,3.0,3,5.0,2.0,3.0,2.0,5.0,0.0,d4379d449f403073dd35acd3b74357887c78b525,505.0,S Tryon St
53,5,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,e3324ca5967f0838b4425072df5c7a1e6d290c6f,219.0,E 7th St
54,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,f737acab83fdab6e45a67111ed49fd8aeff510bb,10411.0,Willow Run Rd
55,5,3.0,3,5.0,0.0,0.8818671780873069,0.0,0.0,0.0,bd4b1decafc864fe393628e1b67e8ce03041d5dc,3701.0,Country Club Dr
56,0,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,0.0,0.0,9dcdb71510f0e0d8dde16ec8197b9df52d0a0e03,2426.0,N Tryon St
57,0,0.0,0,0.0,0.7865274962392436,0.0,1.9112837281089872,0.0,0.0,9aa4b7e4a63c35a49bfd9206ddd7d94ca8e955c6,500.0,N Graham St
58,5,3.3039771526735473,0,0.0,0.0,0.0,0,5.0,0.0,91bf6bf4fec7617716df7e65768314b705927da4,6002.0,The Plz
59,5,3.3039771526735473,3,0.0,1.2256853905921663,0.0,1.7514501544509213,5.0,0.0,65a71e670c59847abdaa882259eb997189e2daee,3600.0,Eastover Ridge Dr
60,5,3.0,3,0.0,2.0,0.0,2.0,5.0,0.0,732c9153d888c852f4bf34ac190c53d796b3bf4f,4400.0,Central Ave
61,0,3.0,0,5.0,0.0,0.0,0,0.0,2.0,6f3c30b20a9225874cb687f650a2e72803275cb0,105.0,S Tryon St
62,0,3.0,1,0.0,0.9238238946244692,0.0,3.7055145607167823,5.0,0.0,fbee12fe8f8201c1eae8ee767e1fe2b6ef8faa61,426.0,Eastway Dr
63,0,3.0,3,5.0,1.6826109754383793,0.0,2,5.0,2.9388334524559863,d1e0824077e9db8a66cdf6c084d961b116ac6e1f,100.0,W 3rd St
64,0,0.0,3,0.0,0.0,0.0,0.0,5.0,0.0,87079eb30a35bdc096e358b304af0580cc05c283,8648.0,J W Clay Blvd
65,0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,c2e4fdb13f3ae6e49f2a2b85f00ce827db4b3aa3,8538.0,Park Rd
66,0,3.3039771526735473,3,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,3462e054df813c335458ddc07e45d8032b329e3e,1403.0,E Bv
67,5,3.0,3,0.0,1.6826109754383793,0.0,2.599223782593324,5.0,0.0,ffdcd8ed5b8ca40c86327bab5603995cad1edabc,3109.0,Wilkinson Bv
68,0,3.0,0,5.0,4.0,3.0,4.0,5.0,0.0,51db4c425de14cc6acd8e08ec47acac589571a5e,8635.0,Hankins Rd
69,0,3.3039771526735473,0,0.0,1.0,0.0,2.0,5.0,0.0,9c7758b31b9dd59b510e45cf19987711775e453d,103.0,E 4th St
70,5,3.0,3,5.0,1.0,0.0,2.0,5.0,0.0,8bab44f5738a68fb8a5ce2cbd45d383de7f1bd82,12749.0,Sam Neely Rd
71,0,3.3039771526735473,1,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,f6b9405d8dd8547223c1465be4561d67f087e7f6,2833.0,Freedom Dr
72,5,3.0,0,2.5,2.0,3.0,2.0,5.0,0.0,638277259451f001ee8b385efd1544ac84f29d96,1620.0,East Blvd
73,0,3.3039771526735473,3,0.0,0.7865274962392436,0.0,1.743870248261988,5.0,0.0,1a234ed332c1f2d40b8ff3bf42bb793c525de360,3838.0,Sky Haven Dr
74,0,3.0,0,0.0,1.5471031605519379,0.0,1.5690630677617585,5.0,0.0,e3670007b43047bb3153995ebdd96af7133259fe,1300.0,S Tryon St
75,0,3.0,0,5.0,1.0,0.0,2.0,0.0,0.0,635ac19f15bef8285ddc510c864a63418e2ade66,105.0,S Tryon St
76,5,3.0,3,5.0,1.0,0.8818671780873069,2.0,5.0,0.0,4e4e5f40d95ce3758cb220572cc12796027547ea,3560.0,W Bv
77,5,3.3039771526735473,3,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,a6e75c75486228d5e58308366cae7932c06c5ad6,5550.0,Albemarle Rd
78,0,3.3039771526735473,0,5.0,1.6826109754383793,0.0,2.599223782593324,5.0,0.0,7a37818ce6b5fd0a4244a478c5f0ffc55ac9bcad,10660.0,Park Rd
79,5,3.0,0,5.0,1.0,3.0,2.0,0.0,0.0,083cfa855bc0aefca9eb5436dc016595cd4674db,219.0,Bradford Dr
80,0,3.0,0,5.0,0.7865274962392436,0.0,1.9112837281089872,5.0,0.0,449255bafcd87b977d29c7fbe4755d360186116c,8525.0,Park Rd
81,5,3.0,3,5.0,2.0,0.0,2.0,0.0,0.0,4e7bd80a911bd54e05e27463fc34f532f132542f,2532.0,Windsor Crescent Ct
82,0,3.0,3,5.0,1.6826109754383793,0.0,1.9744608182855328,5.0,0.0,33087bef64576b5d54972f2c9c2c00541eaf1f73,,I 485
83,0,0.0,3,0.0,1.6826109754383793,0.0,2.599223782593324,0.0,0.0,61bbbd22428198f87f28f8a6c2fb8f73a40a1017,10201.0,Providence Rd
84,0,3.3039771526735473,3,2.5,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,f316f41fa201e57f1255c3c0a6362e32f513052a,9901.0,Johnston Rd
85,5,3.3039771526735473,3,0.0,1.5471031605519379,0.0,1.9052921977613009,0.0,0.0,fcb4d0da9ade436f30cdb18675423426f2001db0,10805.0,University City Blvd
86,5,3.0,0,5.0,4.0,3.0,0.0,5.0,0.0,accc1d585419e50250b68dda21d76fb4d0ec2411,313.0,E Trade St
87,5,3.0,0,5.0,0.0,0.0,0.0,0.0,0.0,f255d1bfb60e2a586ecc7d424163e851bddd2bd1,5119.0,Split Oak Dr
88,0,3.0,0,5.0,1,3.0,0,0.0,0.0,b3ce6ca3633cfbba35fb07dc125610f61af8c651,6320.0,Amos Smith Rd
89,5,3.0,3,5.0,0.0,3.0,0.0,0.0,0.0,efdaa9c28df8ec35ceb5f68e3ff46a1a374178cb,1737.0,Queens Rd W
90,5,3.0,1,5.0,3.6944052863428,0.8818671780873069,3.92614358113644,5.0,2.0,1262d365c9e78ae9e4cc2c62aeec151ea560cf11,6025.0,General Commerce Dr
91,5,3.3039771526735473,0,0.0,1.6826109754383793,0.0,1.9744608182855328,5.0,2.0,5ca5db150ef6d5cf1c8152dd98bec859bd1a0e58,4355.0,Providence Rd
92,0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,46445f54d9a33d2a52bd9768f6ea3d069e64e2d2,10405.0,Park Rd
93,5,3.0,3,5.0,0.7865274962392436,0.0,1.9112837281089872,0.0,0.0,3419f180f28a360265ecf2193622c5dcd51d2fc4,2020.0,Sebastiani Dr
94,0,3.0,0,5.0,0.0,3.0,0.0,0.0,0.0,030a27bcd0f529f685995649ce0b0fed790627af,12798.0,Tom Short Rd
95,5,3.0,0,5.0,2.0,0.0,2,0.0,0.0,7dedd900b2831241969fcb039c1bd450cb78a144,2731.0,Beatties Ford Rd
96,5,3.0,5,5.0,4.0,3.0,1.0,5.0,0.0,fc01afe3022e71865decc06d9c37759156e926af,8512.0,Wilkinson Blvd
97,0,3.0,0,5.0,1.0,0.0,2.0,5.0,0.0,92ed6166f88a2775522eca6fcc20af5c1e2cd89e,6120.0,Prosperity Church Rd
98,0,3.0,0,5.0,1.0,0.0,2.0,0.0,0.0,ec869c236045d4ff2a35d3bd9694be1068164903,503.0,Hawthorne Ln
99,5,0.0,3,5.0,0.5812293449738022,3.0,1.940254031921809,0.0,0.0,54c5d62185fc28bc24882cc45cdc0e6e57199f2c,5706.0,Fairvista Dr
100,5,3.0,0,5.0,4.0,3.0,0.0,0.0,0.0,d45ad326b73e27b727493d7cf7189f5347b0a6f0,8603.0,Lawyers Rd
101,5,3.0,0,5.0,0.0,3.0,0.0,5.0,0.0,aaa2f18068975180f3c2abefeb913ccab4de1e9f,235.0,N Tryon St
102,5,3.3039771526735473,3,0.0,2.0,3.0,1.972584588579056,5.0,0.0,ae0927cac08921694f8331a12bdbfd1617a64528,4410.0,The Plz
103,5,3.0,3,0.0,0.0,3.0,0.0,5.0,0.0,d87e6445196b4956deb5365e867d4ec7bbd0ed83,4521.0,S Bv
104,0,3.3039771526735473,3,0.0,0.7865274962392436,0.0,1.743870248261988,0.0,0.0,c41f93a52743be0d70113e4737c67bbc19fd2536,8415.0,E W T Harris Blvd
105,5,3.0,0,0.0,1.5471031605519379,0.0,1.5690630677617585,5.0,0.0,39107f5c5f4471379cd22cd3960c9f31acca695c,1534.0,Wembley Dr
106,5,3.0,0,0.0,2.0,0.0,2.0,5.0,0.0,ba32e6951544099a8fc562b1c7bff60bd3779335,1715.0,Alleghany St
107,5,3.3039771526735473,3,0.0,1.6826109754383793,0.0,2.599223782593324,5.0,0.0,7ae16ed48ef66e15510e9b2f07912a59f8e3b5d6,1512.0,Abbey Pl
108,5,0.0,0,0.0,0.7865274962392436,0.0,1.743870248261988,5.0,0.0,1f7b9498ed7d1cd21a4df6b70b6a615c495d901c,4346.0,Park Rd
109,0,3.0,1,5.0,0.0,0.0,0.0,5.0,0.0,ac24d9179616388e4d708916104a4471b9714b2d,5314.0,Pineville-matthews Rd
110,5,3.3039771526735473,3,0.0,0.9871032700525614,3.0,1.9602210819956984,0.0,0.0,c5f48a33afd01e9f70cfa47072eba18257b55cae,3311.0,Providence Rd
111,5,3.0,0,5.0,0.0,0.0,0.0,5.0,0.0,e7c5307204d191180821fdfc08811edcb1967571,1342.0,Alleghany St
112,5,3.0,3,5.0,2.0,0.8818671780873069,3.9830376193957537,0.0,0.0,dee5560a558860e5ebb1678ece8bb21db02fbb76,1005.0,Pavilion Bv
113,5,3.3039771526735473,0,5.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,d21a44af18d6a4bf4596fadb3fae3f662f84d88c,6724.0,Wilson Grove Rd
114,5,3.0,3,5.0,0.7865274962392436,0.0,1.743870248261988,5.0,0.0,8e9f9576386793d9ab51f5ec8c206ae74597a864,6915.0,W W T Harris Bv
115,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,8d0ff10ddfdcae3987437689cf14737435440e9a,9702.0,Monroe Rd
116,5,3.0,3,5.0,4.0,3.0,4.848549680256302,0.0,0.0,02864301984894446720fd6fd4a242f6655c4e30,1422.0,The Plz
117,5,3.3039771526735473,1,0.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,db2c7cb4106120e29287ac90ee742254840ad515,3925.0,N Sharon Amity Rd
118,0,3.0,3,5.0,4.0,3.0,4.0,5.0,0.0,a15be833e8d402cc8e924fdd35f8f3c9d07e66b8,900.0,Center Park Dr
119,0,3.0,3,5.0,1.5471031605519379,0.0,1.9052921977613009,0.0,0.0,21a5cb4792177d372688cd18484665744dbbe40e,6402.0,Clarke Creek Pkwy
120,0,3.0,1,0.0,2.0,0.0,2.0,5.0,0.0,d3cad78f7ee50a1b9d40f01967fde7189d8d7212,2753.0,Cowles Rd
121,0,3.3039771526735473,3,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,ac528a219ede72df7e6641d4600453394a1ce3d5,1685.0,N I - 85 Svc Rd
122,5,3.0,3,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,eddd88676e0fc1caee2d0ce2110d56157efa5eb4,9103.0,Albemarle Rd
123,5,3.0,3,2.5,4.0,0.8818671780873069,4.0,0.0,0.0,44e578685d3fa120331850f64b3f7f486ef27d43,2102.0,Queens Rd W
124,5,3.3039771526735473,3,0.0,0.9871032700525614,3.0,1.9602210819956984,5.0,0.0,0725e470a0a9f3a887851280d2521fe552dbea20,6602.0,E W T Harris Blvd
125,0,3.0,3,2.5,2.0,3.0,2.0,5.0,0.0,86d0cf209bef11867c3686a107c286b204bec421,1608.0,East Blvd
126,5,3.0,0,5.0,1.0,0.0,2.0,5.0,0.0,01e0581cc725ccfc1da3249e325be597c95ec416,1069.0,Coddington Pl
127,0,3.0,3,5.0,0.0,0.0,0.0,0.0,0.0,5d954d3b71d48ac4231fb417cd228425b912ee65,6926.0,City View Dr
128,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,71e6a82d688b2bb2098e256aa0f453ee75d7cc51,8407.0,Habersham Pointe Cir
129,5,3.0,3,5.0,4.0,3.0,4.848549680256302,0.0,2.9388334524559863,40f2d425a970ff1684bba814cd3e232472230b65,1105.0,Moray Ct
130,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,38052fb98b496f0ca6cf8bde53848c0ee1632a5e,2732.0,Wilkinson Blvd
131,5,3.0,0,5.0,2.0,0.0,2.0,0.0,0.0,5dd7b980c2766195418c3b29cacc2c1d15fff6ae,2009.0,Nolen Park Ln
132,5,0.0,3,5.0,0.5812293449738022,3.0,1.940254031921809,5.0,0.0,4a4f4878922bc5e0feb12d20b1fab0026426690e,1304.0,E Woodlawn Rd
133,0,3.0,0,5.0,2.0,0.0,2.0,0.0,0.0,5fd4bcec47e684f9f95d4a1affacc1c7c57fc710,7335.0,Wilson Grove Rd
134,5,0.0,3,5.0,0.5812293449738022,3.0,1.940254031921809,0.0,0.0,9d571ab313961a9b1aa41f5350fe50169724da6f,2332.0,Julia Ave
135,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,102d187361e1afdf83983754089e9d66b4098b98,8834.0,E W T Harris Bv
136,5,3.0,0,0.0,1.6826109754383793,0.0,1.9744608182855328,5.0,0.0,8aa86b8acd4ae0c78e1e5ed1c64ea946802b27e1,1202.0,W Sugar Creek Rd
137,5,3.3039771526735473,0,5.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,97072187b716b0ccfc2cd54b7c13824e00480bfd,5536.0,Joyce Dr
138,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,ec4477b806086c0834405ac87f21ad01c29dc1c5,7029.0,Fernwood Dr
139,0,0.0,3,0.0,0.0,0.0,0.0,5.0,0.0,54cdb1825699d2e71ccb7b62def7abf4d63418b9,8437.0,Davis Lake Py
140,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,450557826952b3467687194c01739b2be08ee8c6,6605.0,Fairview Rd
141,0,0.0,0,0.0,0.5812293449738022,3.0,1.8511335893428382,0.0,2.0,305260484c6308d7e38cc22119513a22d73557e6,5620.0,Flagstaff Dr
142,0,3.0,0,5.0,1.2256853905921663,0.0,1.439431243892316,5.0,0.0,24aed0a9dd2ec6956a84786f798a9ccaf9e8f288,3948.0,The Plz
143,5,3.0,3,5.0,1.0,0.8818671780873069,1,0.0,0.0,f7a4064cda3940cfe271b5c82e16a7aaf76e57ad,9406.0,Steele Creek Rd
144,5,0.0,0,0.0,0.7865274962392436,0.0,1.8566901907690336,5.0,0.0,0cf0d3c4b1f0de1727f717c3d00d9427134d5735,2605.0,W Arrowood Rd
145,5,3.0,3,5.0,4.0,0.0,4.848549680256302,0.0,0.0,a76baf07b51c1c9987e3d976845056557c65c25b,3064.0,Uxbridge Woods Ct
146,5,3.0,3,0.0,1,3.0,0,0.0,0.0,9fbe2abca811e8e050f9d260ea4db3cab34d778f,6635.0,Mounting Rock Rd
147,5,3.0,3,5.0,0.0,0.0,0,0.0,0.0,ca0d03b4df5a867816e704819d74202b48140ea0,4201.0,Back Creek Church Rd
148,0,3.3039771526735473,0,0.0,1.5471031605519379,0.0,1.5690630677617585,5.0,0.0,c7c8af616e77d04879d2d98281a353d41df88f80,8732.0,University City Bv
149,5,3.0,3,5.0,1.0,0.0,2.0,0.0,0.0,88e1a5351de78e377578a4d474017db7acf400bf,708.0,Pecan Ave
